state,totalpop,male,female,H,W,B,N,A,P,0-18_ratio,19-25_ratio,26-34_ratio,35-54_ratio,55-64_ratio,65+_ratio
NE,1861738,49.706671937727,50.29332806227299,9.976659766304387,80.7835476850126,4.5711117783490485,0.7034303967582978,1.9957319450964637,0.06044926837181172,0.25977975878342946,0.08751966439433666,0.11767173571054011,0.24525432616675408,0.12538017829050865,0.16444677503932878
NH,1324201,49.349305732286865,50.650694267713135,3.182557783901386,91.40228975812585,1.168061495195971,0.14456287225277734,2.3491100671272713,0.017477180579081274,0.19766837454518452,0.07618623301403431,0.1193287294868939,0.25380559887131504,0.15994653597683225,0.19313878369347293
NJ,8857622,48.71457598890537,51.28542401109463,19.01603653892659,57.14759150932384,12.687824147384026,0.10835802205151676,9.000416703264149,0.023485660146707544,0.22994793673157146,0.07899747938932979,0.11710382934695271,0.2655006549184929,0.14026262781917645,0.16818747179447668
NM,2084117,49.53723807252664,50.462761927473366,47.35826678636565,39.2054109246266,1.8282002881795982,8.504138251355371,1.3063329937810595,0.042966925561280865,0.2405603218457661,0.0836605108816829,0.11599049973341088,0.24182056129126073,0.13091949008773204,0.187097086908051
NV,2778084,50.33667088540159,49.66332911459841,27.712443900184443,51.766919970742414,8.097890020604128,0.8830888842813969,7.544757609921081,0.6128424122524734,0.2328900106785749,0.08073649807462059,0.12882244442287158,0.26531404717988544,0.12574830922564154,0.16652104973627155
NY,19562033,48.42243646148639,51.5775635385136,18.421434106567556,56.79418971433082,14.356878556538577,0.2348187327973529,7.926815530880661,0.0239692060636029,0.21865063335715543,0.08090192544718226,0.12911060704927033,0.2575479808180302,0.1384530134957379,0.17533066111508147
OH,11532805,48.86241465107578,51.13758534892422,3.374883664468445,80.31079804956384,12.0024685581695,0.14615037711987672,1.8426719865635466,0.022738136992691716,0.2336216905121468,0.08419389474235534,0.11901498817182712,0.24767582949972503,0.13724172246130747,0.17826060389151252
OK,3840607,49.517042488335825,50.482957511664175,9.650195971626362,67.31832804033321,7.116273078708652,6.952318474657783,1.8992701153749914,0.11647265653580281,0.2563883273726222,0.08961799616441196,0.1173741771627015,0.24889856424609963,0.12424195303996267,0.16347898201420205
OR,3939233,49.46275074360923,50.53724925639077,12.328261212271526,77.24677255699268,1.754067860418513,0.922180231532382,3.9199375360634927,0.36340551574380087,0.21131259757415635,0.08207037348384773,0.12698450822625196,0.26643449021256155,0.12580761378647773,0.1873904167167047
PA,12731388,48.79820644850349,51.20179355149651,6.368467625053921,78.17968031451088,10.470350970373381,0.11200685266995242,3.0485896510262664,0.017072058443274214,0.2192613817255651,0.07742757083731296,0.11995383635784782,0.25038204393505253,0.14266157274753263,0.19031359439668896
RI,1053661,48.43948860212156,51.56051139787845,13.646043746518092,74.52530700101835,5.338834786520522,0.3708181284113201,3.193049851897337,0.03289919623104585,0.20508426163953156,0.08492811577644482,0.12453584690088546,0.25535561268209084,0.14671998476625725,0.18337617823479005
SC,4746374,48.487413760483264,51.512586239516736,5.29134440311699,63.97011107847801,27.247259760819517,0.29061496207420656,1.3853612884277557,0.050816223078922994,0.22953616632940524,0.08185533468237909,0.11391501011784311,0.24885926278617626,0.13696782129111615,0.1888465658850137
SD,843190,50.22319999051222,49.77680000948778,3.3094846950272183,83.2222623607965,1.516473867099942,8.295340314757055,1.2024773775780073,0.0382090632004649,0.25989812456587175,0.09006714517249363,0.10974762676545496,0.2307247047927761,0.13475341514239408,0.1748089835610095
TN,6482982,48.69481359041256,51.30518640958744,4.925907044011537,74.77561833427889,16.624903169559936,0.21993780022835172,1.5554898656204816,0.045660284109997534,0.23213313518047116,0.08460734833213167,0.12202586777710746,0.2563823369285325,0.1335618957931755,0.17130413031003075
TX,26456798,49.58359662420222,50.41640337579778,38.4762225421232,43.82316975395133,11.541715732191022,0.24637549865255806,4.1838928694243345,0.07080213561746965,0.26846314650913666,0.09124883429882857,0.12954970133782626,0.2641331516746229,0.11377590110000589,0.13282926507957968
UT,2900198,50.2214676377268,49.7785323622732,13.420190621467913,79.5066432705629,1.0149860457803226,0.943963550074857,2.1741417999736568,0.8789655740745977,0.3001706380644768,0.10777622036687184,0.1315741361447986,0.24974099579499057,0.09385093546224633,0.11697848741544274
VA,8202003,49.134973493669776,50.865026506330224,8.611256616219233,63.436040842706355,18.890534019555954,0.20560258268620482,5.918530693051442,0.06069955107307325,0.23446116797110175,0.08251655629139072,0.11896447922937989,0.26360024081878386,0.13396748946417822,0.1665382299819386
VT,626604,49.24529687011254,50.75470312988746,1.7067216296097694,93.6065623583635,1.0744776605320105,0.29658316895519343,1.3843880664662211,0.029426080905962937,0.19267387445538164,0.08229788607390673,0.11005325157334193,0.24963692109085042,0.15588187832822334,0.20929482007422948
WA,6977372,49.910697036076044,50.089302963923956,11.960441954363334,70.79497773660341,3.4854344157083785,1.156630089380357,7.582583686236021,0.6084166502803635,0.22776144699557746,0.08243955403723419,0.13586769418182781,0.2647043245676756,0.1258970895897884,0.16331664945313948
WI,5726162,49.64629013290228,50.35370986709772,6.352515210013269,82.40528615851247,6.163827481653506,0.8031874229195752,2.4607815147388425,0.018867506717413864,0.22761712776310303,0.08536076741276241,0.11412136799666342,0.2494439037953566,0.14409842902822187,0.17935840400389266
WV,1851420,49.34758185608884,50.65241814391116,1.373322314763803,92.54826970649556,3.2601608495101058,0.14642641864082703,0.7180578690950731,0.025296367112810705,0.21200230813618004,0.08268897864974034,0.10126947489901904,0.25170225043277555,0.1430467397576457,0.20929024812463937
WY,579679,50.987011777207734,49.012988222792266,9.60516734261548,84.4679772770792,1.0286587921936103,1.8985336712214862,0.8907227965822463,0.06631739290193366,0.2401064773735581,0.08500443655723158,0.10381543921916593,0.25767524401064773,0.13203194321206743,0.1813664596273292
