id,armed_with,city,county,state,age,gender,race,body_camera,age_range,year
371,unarmed,Omaha,Douglas,NE,39.0,male,W,False,35-54,2015
177,knife,Green Bay,Brown,WI,30.0,male,W,False,26-34,2015
178,,Oklahoma City,Oklahoma,OK,27.0,male,B,False,26-34,2015
179,gun,Las Vegas,Clark,NV,43.0,male,W,False,35-54,2015
180,unarmed,Terre Haute,Vigo,IN,31.0,male,W,False,26-34,2015
181,gun,Lakeland,Polk,FL,42.0,male,H,False,35-54,2015
182,knife,San Francisco,San Francisco,CA,21.0,male,H,False,19-25,2015
183,unarmed,Gulfport,Harrison,MS,49.0,male,W,False,35-54,2015
184,gun,Sylvester,Worth,GA,34.0,female,W,False,26-34,2015
185,unarmed,Santa Ana,Orange,CA,27.0,male,H,False,26-34,2015
186,gun,Pelzer,Greenville,SC,24.0,male,W,False,19-25,2015
187,unarmed,Roxand Township,Eaton,MI,17.0,male,W,True,0-18,2015
188,unarmed,St Louis,St. Louis City,MO,34.0,male,B,False,26-34,2015
189,knife,Tucson,Pima,AZ,28.0,female,H,False,26-34,2015
190,gun,Columbia,Boone,MO,28.0,male,B,False,26-34,2015
191,gun,Tarboro,Edgecombe,NC,40.0,male,B,False,35-54,2015
192,gun,La Paz County,La Paz,AZ,37.0,female,W,False,35-54,2015
194,unarmed,Los Angeles,Los Angeles,CA,43.0,male,B,True,35-54,2015
195,gun,Houston,Harris,TX,35.0,male,A,False,35-54,2015
268,gun,Barton,George,MS,49.0,male,W,False,35-54,2015
196,gun,Joilet,Will,IL,20.0,male,B,False,19-25,2015
197,gun,Salisbury,Wicomico,MD,25.0,male,B,False,19-25,2015
198,knife,Tempe,Maricopa,AZ,25.0,male,W,False,19-25,2015
199,unarmed,Deltona,Volusia,FL,26.0,male,W,False,26-34,2015
249,gun,Stockton,San Joaquin,CA,28.0,male,A,False,26-34,2015
200,knife,Milwaukee,Milwaukee,WI,45.0,male,B,False,35-54,2015
201,unarmed,Burbank,Los Angeles,CA,36.0,male,H,False,35-54,2015
202,gun,Lincoln,Lancaster,NE,34.0,male,W,False,26-34,2015
203,unarmed,Madison,Dane,WI,19.0,male,B,False,19-25,2015
